Drug,Metabolite,Change,Increased,Decreased,Description
Acetylcysteine,Creatinine,decreased,0,1,Acetylcysteine decreases the level of Creatinine in the blood
Acetylcysteine,Creatinine,decreased,0,1,Acetylcysteine decreases the level of Creatinine in the blood
Acetylsalicylic acid,L-Asparagine,decreased,0,1,Acetylsalicylic acid decreases the level of L-Asparagine in the blood
Acetylsalicylic acid,L-Valine,decreased,0,1,Acetylsalicylic acid decreases the level of L-Valine in the blood
Acetylsalicylic acid,Taurine,decreased,0,1,Acetylsalicylic acid decreases the level of Taurine in the blood
Acetylsalicylic acid,Asparagine,decreased,0,1,Acetylsalicylic acid decreases the level of Asparagine in the blood
Acetylsalicylic acid,Aspartic acid,decreased,0,1,Acetylsalicylic acid decreases the level of Aspartic acid in the blood
Acetylsalicylic acid,Azelaic acid,decreased,0,1,Acetylsalicylic acid decreases the level of Azelaic acid in the blood
Acetylsalicylic acid,Serotonin,increased,1,0,Acetylsalicylic acid increases the level of Serotonin in the blood
Acetylsalicylic acid,D-Ribose,decreased,0,1,Acetylsalicylic acid decreases the level of D-Ribose in the blood
Acetylsalicylic acid,Ornithine,decreased,0,1,Acetylsalicylic acid decreases the level of Ornithine in the blood
Acetylsalicylic acid,Oleic acid,decreased,0,1,Acetylsalicylic acid decreases the level of Oleic acid in the blood
Acetylsalicylic acid,Palmitoleic acid,decreased,0,1,Acetylsalicylic acid decreases the level of Palmitoleic acid in the blood
Acetylsalicylic acid,Dimethylarginine,increased,1,0,Acetylsalicylic acid increases the level of Dimethylarginine in the blood
Acetylsalicylic acid,Linoleic acid,decreased,0,1,Acetylsalicylic acid decreases the level of Linoleic acid in the blood
Acetylsalicylic acid,L-Aspartic acid,decreased,0,1,Acetylsalicylic acid decreases the level of L-Aspartic acid in the blood
Acetylsalicylic acid,Shikimic acid,decreased,0,1,Acetylsalicylic acid decreases the level of Shikimic acid in the blood
Acetylsalicylic acid,Xanthine,decreased,0,1,Acetylsalicylic acid decreases the level of Xanthine in the blood
Acetylsalicylic acid,3-Phosphoglyceric acid,decreased,0,1,Acetylsalicylic acid decreases the level of 3-Phosphoglyceric acid in the blood
Acetylsalicylic acid,"2,5-Furandicarboxylic acid",decreased,0,1,"Acetylsalicylic acid decreases the level of 2,5-Furandicarboxylic acid in the blood"
Acetylsalicylic acid,Salicylic acid,increased,1,0,Acetylsalicylic acid increases the level of Salicylic acid in the blood
Acetylsalicylic acid,SalicylUric acid,increased,1,0,Acetylsalicylic acid increases the level of SalicylUric acid in the blood
Acetylsalicylic acid,Inosine,increased,1,0,Acetylsalicylic acid increases the level of Inosine in the blood
Acetylsalicylic acid,Guanosine,increased,1,0,Acetylsalicylic acid increases the level of Guanosine in the blood
Acetylsalicylic acid,Adenosine-5-monophosphate,increased,1,0,Acetylsalicylic acid increases the level of Adenosine-5-monophosphate in the blood
Acetylsalicylic acid,Adenosine,increased,1,0,Acetylsalicylic acid increases the level of Adenosine in the blood
Acetylsalicylic acid,Hypoxanthine,decreased,0,1,Acetylsalicylic acid decreases the level of Hypoxanthine in the blood
Acetylsalicylic acid,Glutamic acid,decreased,0,1,Acetylsalicylic acid decreases the level of Glutamic acid in the blood
Acetylsalicylic acid,Potassium,increased,1,0,Acetylsalicylic acid increases the level of Potassium in the blood
Acetylsalicylic acid,L-Glutamine,decreased,0,1,Acetylsalicylic acid decreases the level of L-Glutamine in the blood
Acetylsalicylic acid,L-Serine,decreased,0,1,Acetylsalicylic acid decreases the level of L-Serine in the blood
Acetylsalicylic acid,L-Phenylalanine,decreased,0,1,Acetylsalicylic acid decreases the level of L-Phenylalanine in the blood
Acetylsalicylic acid,Serine,decreased,0,1,Acetylsalicylic acid decreases the level of Serine in the blood
Acetylsalicylic acid,L-Histidine,decreased,0,1,Acetylsalicylic acid decreases the level of L-Histidine in the blood
Acetylsalicylic acid,L-Tyrosine,decreased,0,1,Acetylsalicylic acid decreases the level of L-Tyrosine in the blood
Acetylsalicylic acid,Phenylalanine,decreased,0,1,Acetylsalicylic acid decreases the level of Phenylalanine in the blood
Acetylsalicylic acid,Arachidonic acid,decreased,0,1,Acetylsalicylic acid decreases the level of Arachidonic acid in the blood
Acetylsalicylic acid,L-Leucine,decreased,0,1,Acetylsalicylic acid decreases the level of L-Leucine in the blood
Acetylsalicylic acid,Lysine,decreased,0,1,Acetylsalicylic acid decreases the level of Lysine in the blood
Acetylsalicylic acid,L-glutamic acid,decreased,0,1,Acetylsalicylic acid decreases the level of L-glutamic acid in the blood
Acetylsalicylic acid,L-Lysine,decreased,0,1,Acetylsalicylic acid decreases the level of L-Lysine in the blood
Acetylsalicylic acid,Beta-alanine,decreased,0,1,Acetylsalicylic acid decreases the level of Beta-alanine in the blood
Acetylsalicylic acid,Valine,decreased,0,1,Acetylsalicylic acid decreases the level of Valine in the blood
Acetylsalicylic acid,Glycine,decreased,0,1,Acetylsalicylic acid decreases the level of Glycine in the blood
Acetylsalicylic acid,Histidine,decreased,0,1,Acetylsalicylic acid decreases the level of Histidine in the blood
Acetylsalicylic acid,O-Phosphoethanolamine,increased,1,0,Acetylsalicylic acid increases the level of O-Phosphoethanolamine in the blood
Acetylsalicylic acid,Ethanolamine,decreased,0,1,Acetylsalicylic acid decreases the level of Ethanolamine in the blood
Acetylsalicylic acid,Leucine,decreased,0,1,Acetylsalicylic acid decreases the level of Leucine in the blood
Acetylsalicylic acid,Glycylglycine,decreased,0,1,Acetylsalicylic acid decreases the level of Glycylglycine in the blood
Acitretin,Triglycerides,increased,1,0,Acitretin increases the level of Triglycerides in the blood
Adefovir,Creatinine,increased,1,0,Adefovir increases the level of Creatinine in the blood
Adefovir,Phosphate,decreased,0,1,Adefovir decreases the level of Phosphate in the blood
Adefovir dipivoxil,Creatinine,increased,1,0,Adefovir dipivoxil increases the level of Creatinine in the blood
Adefovir dipivoxil,Phosphorus,decreased,0,1,Adefovir dipivoxil decreases the level of Phosphorus in the blood
Agomelatine,Dopamine,increased,1,0,Agomelatine increases the level of Dopamine in the blood
Agomelatine,Melatonin,increased,1,0,Agomelatine increases the level of Melatonin in the blood
Agomelatine,Serotonin,increased,1,0,Agomelatine increases the level of Serotonin in the blood
Agomelatine,Norepinephrine,increased,1,0,Agomelatine increases the level of Norepinephrine in the blood
Albiglutide,Glucose,decreased,0,1,Albiglutide decreases the level of Glucose in the blood
Alemtuzumab,Thyroid hormone,decreased,0,1,Alemtuzumab decreases the level of Thyroid hormone in the blood
Alfacalcidol,Calcium,increased,1,0,Alfacalcidol increases the level of Calcium in the blood
Alfacalcidol,Phosphate,increased,1,0,Alfacalcidol increases the level of Phosphate in the blood
Aliskiren,Aldosterone,decreased,0,1,Aliskiren decreases the level of Aldosterone in the blood
Aliskiren,cardiac bradykinin,increased,1,0,Aliskiren increases the level of cardiac bradykinin in the blood
Aliskiren,Creatinine,decreased,0,1,Aliskiren decreases the level of Creatinine in the blood
Allopurinol,Xanthine,increased,1,0,Allopurinol increases the level of Xanthine in the blood
Allopurinol,Uric acid,decreased,0,1,Allopurinol decreases the level of Uric acid in the blood
Allopurinol,Hypoxanthine,increased,1,0,Allopurinol increases the level of Hypoxanthine in the blood
Allopurinol,Oxipurinol,increased,1,0,Allopurinol increases the level of Oxipurinol in the blood
Almitrine,L-Lactic acid,increased,1,0,Almitrine increases the level of L-Lactic acid in the blood
Alogliptin,Creatinine,increased,1,0,Alogliptin increases the level of Creatinine in the blood
Alogliptin,LDL cholesterol,decreased,0,1,Alogliptin decreases the level of LDL cholesterol in the blood
Alogliptin,Glucose,decreased,0,1,Alogliptin decreases the level of Glucose in the blood
Alogliptin,Total cholesterol,decreased,0,1,Alogliptin decreases the level of Total cholesterol in the blood
Alogliptin,"1,5-anhydroglucitol",increased,1,0,"Alogliptin increases the level of 1,5-anhydroglucitol in the blood"
Alprazolam,Cortisol,decreased,0,1,Alprazolam decreases the level of Cortisol in the blood
Alprazolam,Dehydroepiandrosterone,increased,1,0,Alprazolam increases the level of Dehydroepiandrosterone in the blood
Alprazolam,3-methoxy-4-hydroxyphenylglycol,decreased,0,1,Alprazolam decreases the level of 3-methoxy-4-hydroxyphenylglycol in the blood
Alprazolam,Homovanillic acid,increased,1,0,Alprazolam increases the level of Homovanillic acid in the blood
Aluminum hydroxide,Phosphate,decreased,0,1,Aluminum hydroxide decreases the level of Phosphate in the blood
Amantadine,Glucose,decreased,0,1,Amantadine decreases the level of Glucose in the blood
Amantadine,Noradrenaline,increased,1,0,Amantadine increases the level of Noradrenaline in the blood
Amantadine,Serotonin,decreased,0,1,Amantadine decreases the level of Serotonin in the blood
Amantadine,Dopamine,decreased,0,1,Amantadine decreases the level of Dopamine in the blood
Amantadine,Adrenaline,decreased,0,1,Amantadine decreases the level of Adrenaline in the blood
Amifostine,Cysteine,increased,1,0,Amifostine increases the level of Cysteine in the blood
Amikacin,Creatinine,increased,1,0,Amikacin increases the level of Creatinine in the blood
Amikacin,Urea,increased,1,0,Amikacin increases the level of Urea in the blood
Amiloride,Glutaroylcarnitine C5-DC,increased,1,0,Amiloride increases the level of Glutaroylcarnitine C5-DC in the blood
Amiloride,Potassium,increased,1,0,Amiloride increases the level of Potassium in the blood
Amiloride,Aldosterone,increased,1,0,Amiloride increases the level of Aldosterone in the blood
Amiloride,Phenylalanylphenylalanine,decreased,0,1,Amiloride decreases the level of Phenylalanylphenylalanine in the blood
Amiloride,Chloride,increased,1,0,Amiloride increases the level of Chloride in the blood
Amiloride,Pseudouridine,increased,1,0,Amiloride increases the level of Pseudouridine in the blood
Amiloride,C-glycosyltryptophan,increased,1,0,Amiloride increases the level of C-glycosyltryptophan in the blood
Amiloride,Sodium,decreased,0,1,Amiloride decreases the level of Sodium in the blood
Amiloride,Homocitrulline,increased,1,0,Amiloride increases the level of Homocitrulline in the blood
Amiloride,HWESASXX,increased,1,0,Amiloride increases the level of HWESASXX in the blood
Amiloride,Urate,increased,1,0,Amiloride increases the level of Urate in the blood
Amiloride,Urea,increased,1,0,Amiloride increases the level of Urea in the blood
Amiloride,Bicarbonate,decreased,0,1,Amiloride decreases the level of Bicarbonate in the blood
Amiloride,Potassium,increased,1,0,Amiloride increases the level of Potassium in the blood
Aminoglutethimide,Estrogen,decreased,0,1,Aminoglutethimide decreases the level of Estrogen in the blood
Aminoglutethimide,Estradiol,decreased,0,1,Aminoglutethimide decreases the level of Estradiol in the blood
Aminoglutethimide,Corticosterone,increased,1,0,Aminoglutethimide increases the level of Corticosterone in the blood
Aminoglutethimide,Estrone,decreased,0,1,Aminoglutethimide decreases the level of Estrone in the blood
Aminoglutethimide,Cortisol,decreased,0,1,Aminoglutethimide decreases the level of Cortisol in the blood
Aminoglutethimide,Estrone sulphate,decreased,0,1,Aminoglutethimide decreases the level of Estrone sulphate in the blood
Aminoglutethimide,Androstenedione,increased,1,0,Aminoglutethimide increases the level of Androstenedione in the blood
Aminophylline,Glucose,increased,1,0,Aminophylline increases the level of Glucose in the blood
Aminophylline,Free fatty acids,increased,1,0,Aminophylline increases the level of Free fatty acids in the blood
Amiodarone,Thyroxine,increased,1,0,Amiodarone increases the level of Thyroxine in the blood
Amiodarone,T3,decreased,0,1,Amiodarone decreases the level of T3 in the blood
Amiodarone,Sodium,decreased,0,1,Amiodarone decreases the level of Sodium in the blood
Amiodarone,Antidiuretic hormone,increased,1,0,Amiodarone increases the level of Antidiuretic hormone in the blood
Amiodarone,T4,increased,1,0,Amiodarone increases the level of T4 in the blood
Amiodarone,Reverse T3,increased,1,0,Amiodarone increases the level of Reverse T3 in the blood
Amiodarone,Creatinine,increased,1,0,Amiodarone increases the level of Creatinine in the blood
Amisulpride,Glucose,decreased,0,1,Amisulpride decreases the level of Glucose in the blood
Amisulpride,Glucose,increased,1,0,Amisulpride increases the level of Glucose in the blood
Amisulpride,Fasting triglyceride,decreased,0,1,Amisulpride decreases the level of Fasting triglyceride in the blood
Amisulpride,Total cholesterol,decreased,0,1,Amisulpride decreases the level of Total cholesterol in the blood
Amitriptyline,Antidiuretic hormone,increased,1,0,Amitriptyline increases the level of Antidiuretic hormone in the blood
Amitriptyline,Sodium,decreased,0,1,Amitriptyline decreases the level of Sodium in the blood
Amitriptyline,Noradrenaline,decreased,0,1,Amitriptyline decreases the level of Noradrenaline in the blood
Amitriptyline,Phenylacetic acid (unconjugated),increased,1,0,Amitriptyline increases the level of Phenylacetic acid (unconjugated) in the blood
Amitriptyline,Phenylacetic acid (total),increased,1,0,Amitriptyline increases the level of Phenylacetic acid (total) in the blood
Amitriptyline,Antidiuretic hormone,increased,1,0,Amitriptyline increases the level of Antidiuretic hormone in the blood
Amitriptyline,Serotonin,increased,1,0,Amitriptyline increases the level of Serotonin in the blood
Amitriptyline,Glutamate,decreased,0,1,Amitriptyline decreases the level of Glutamate in the blood
Amitriptyline,Phenylacetic acid (conjugated),increased,1,0,Amitriptyline increases the level of Phenylacetic acid (conjugated) in the blood
Amlodipine,Asymmetric dimethylarginine,decreased,0,1,Amlodipine decreases the level of Asymmetric dimethylarginine in the blood
Amlodipine,Symmetric dimethylarginine.,decreased,0,1,Amlodipine decreases the level of Symmetric dimethylarginine. in the blood
Amlodipine,Malondialdehyde,decreased,0,1,Amlodipine decreases the level of Malondialdehyde in the blood
Amlodipine,HDL cholesterol,increased,1,0,Amlodipine increases the level of HDL cholesterol in the blood
Amlodipine,Creatinine,increased,1,0,Amlodipine increases the level of Creatinine in the blood
Amlodipine,Creatinine,decreased,0,1,Amlodipine decreases the level of Creatinine in the blood
Amlodipine,13-hydroxyoctadecadienoic acid,decreased,0,1,Amlodipine decreases the level of 13-hydroxyoctadecadienoic acid in the blood
Amlodipine,Total cholesterol,decreased,0,1,Amlodipine decreases the level of Total cholesterol in the blood
Amlodipine,8-hydroxy 2-deoxyguanosine,decreased,0,1,Amlodipine decreases the level of 8-hydroxy 2-deoxyguanosine in the blood
Amobarbital,Protriptyline,decreased,0,1,Amobarbital decreases the level of Protriptyline in the blood
Amoxicillin,Total conjugated estriol,decreased,0,1,Amoxicillin decreases the level of Total conjugated estriol in the blood
Amoxicillin,Conjugated estrone,decreased,0,1,Amoxicillin decreases the level of Conjugated estrone in the blood
Amoxicillin,Estradiol,decreased,0,1,Amoxicillin decreases the level of Estradiol in the blood
Amoxicillin,Estriol-glucuronide,decreased,0,1,Amoxicillin decreases the level of Estriol-glucuronide in the blood
Amphetamine,Sodium,decreased,0,1,Amphetamine decreases the level of Sodium in the blood
Amphotericin B,Calcium,increased,1,0,Amphotericin B increases the level of Calcium in the blood
Amphotericin B,Potassium,decreased,0,1,Amphotericin B decreases the level of Potassium in the blood
Amphotericin B,potassium,decreased,0,1,Amphotericin B decreases the level of potassium in the blood
Amphotericin B,magnesium,decreased,0,1,Amphotericin B decreases the level of magnesium in the blood
Ampicillin,Conjugated estrone,decreased,0,1,Ampicillin decreases the level of Conjugated estrone in the blood
Ampicillin,Total conjugated estriol,decreased,0,1,Ampicillin decreases the level of Total conjugated estriol in the blood
Ampicillin,Estradiol,decreased,0,1,Ampicillin decreases the level of Estradiol in the blood
Ampicillin,Estriol-glucuronide,decreased,0,1,Ampicillin decreases the level of Estriol-glucuronide in the blood
Ampicillin,potassium,decreased,0,1,Ampicillin decreases the level of potassium in the blood
Amprenavir,HDL cholesterol,increased,1,0,Amprenavir increases the level of HDL cholesterol in the blood
Amprenavir,LDL cholesterol,increased,1,0,Amprenavir increases the level of LDL cholesterol in the blood
Amprenavir,Triglycerides,increased,1,0,Amprenavir increases the level of Triglycerides in the blood
Amprenavir,Total cholesterol,increased,1,0,Amprenavir increases the level of Total cholesterol in the blood
Amrinone,Fatty acid,increased,1,0,Amrinone increases the level of Fatty acid in the blood
Anastrozole,Estrone,decreased,0,1,Anastrozole decreases the level of Estrone in the blood
Anastrozole,Cross-linked N-telopeptide of type I collagen,increased,1,0,Anastrozole increases the level of Cross-linked N-telopeptide of type I collagen in the blood
Anastrozole,C-terminal telopeptide of type I collagen,increased,1,0,Anastrozole increases the level of C-terminal telopeptide of type I collagen in the blood
Anastrozole,Estrogen,decreased,0,1,Anastrozole decreases the level of Estrogen in the blood
Anastrozole,Estradiol,decreased,0,1,Anastrozole decreases the level of Estradiol in the blood
Anastrozole,Estrone sulfate,decreased,0,1,Anastrozole decreases the level of Estrone sulfate in the blood
Apomorphine,Homovanillic acid,decreased,0,1,Apomorphine decreases the level of Homovanillic acid in the blood
Aprotinin,Lactate,increased,1,0,Aprotinin increases the level of Lactate in the blood
Aprotinin,Creatinine,increased,1,0,Aprotinin increases the level of Creatinine in the blood
Aprotinin,Blood urea nitrogen,increased,1,0,Aprotinin increases the level of Blood urea nitrogen in the blood
Arformoterol,Potassium,decreased,0,1,Arformoterol decreases the level of Potassium in the blood
Arformoterol,Glucose,increased,1,0,Arformoterol increases the level of Glucose in the blood
Arginine,Glucose,increased,1,0,Arginine increases the level of Glucose in the blood
Arginine,Arginine,increased,1,0,Arginine increases the level of Arginine in the blood
Aripiprazole,Glucose,decreased,0,1,Aripiprazole decreases the level of Glucose in the blood
Aripiprazole,Cholesterol,decreased,0,1,Aripiprazole decreases the level of Cholesterol in the blood
Aripiprazole,Triglycerides,decreased,0,1,Aripiprazole decreases the level of Triglycerides in the blood
Aripiprazole,Triglycerides,increased,1,0,Aripiprazole increases the level of Triglycerides in the blood
Aripiprazole,CE18.3n3,increased,1,0,Aripiprazole increases the level of CE18.3n3 in the blood
Aripiprazole,PE20.5n3,increased,1,0,Aripiprazole increases the level of PE20.5n3 in the blood
Aripiprazole,CE20.3n6,increased,1,0,Aripiprazole increases the level of CE20.3n6 in the blood
Ascorbic acid,Ethinyl Estradiol,increased,1,0,Ascorbic acid increases the level of Ethinyl Estradiol in the blood
Ascorbic acid,Glucose,decreased,0,1,Ascorbic acid decreases the level of Glucose in the blood
Ascorbic acid,Triglycerides,decreased,0,1,Ascorbic acid decreases the level of Triglycerides in the blood
Ascorbic acid,F2 Isoprostanes,decreased,0,1,Ascorbic acid decreases the level of F2 Isoprostanes in the blood
Asparaginase Escherichia coli,Glucose,decreased,0,1,Asparaginase Escherichia coli decreases the level of Glucose in the blood
Asparaginase Escherichia coli,Triglycerides,increased,1,0,Asparaginase Escherichia coli increases the level of Triglycerides in the blood
Asparaginase Escherichia coli,Cholesterol,increased,1,0,Asparaginase Escherichia coli increases the level of Cholesterol in the blood
Aspartame,Valine,increased,1,0,Aspartame increases the level of Valine in the blood
Aspartame,Isoleucine,increased,1,0,Aspartame increases the level of Isoleucine in the blood
Aspartame,Leucine,increased,1,0,Aspartame increases the level of Leucine in the blood
Aspartame,Phenylalanine,increased,1,0,Aspartame increases the level of Phenylalanine in the blood
Atazanavir,Total cholesterol,increased,1,0,Atazanavir increases the level of Total cholesterol in the blood
Atazanavir,Total bilirubin,increased,1,0,Atazanavir increases the level of Total bilirubin in the blood
Atazanavir,Triglycerides,increased,1,0,Atazanavir increases the level of Triglycerides in the blood
Atazanavir,LDL cholesterol,increased,1,0,Atazanavir increases the level of LDL cholesterol in the blood
Atazanavir,Unconjugated bilirubin,increased,1,0,Atazanavir increases the level of Unconjugated bilirubin in the blood
Atazanavir,Creatinine,increased,1,0,Atazanavir increases the level of Creatinine in the blood
Atazanavir,HDL cholesterol,increased,1,0,Atazanavir increases the level of HDL cholesterol in the blood
Atazanavir,Bilirubin,increased,1,0,Atazanavir increases the level of Bilirubin in the blood
Atenolol,Arachidonoyl-carnitine,increased,1,0,Atenolol increases the level of Arachidonoyl-carnitine in the blood
Atenolol,Margarate FA(17:0),decreased,0,1,Atenolol decreases the level of Margarate FA(17:0) in the blood
Atenolol,VLDL triglycerides,increased,1,0,Atenolol increases the level of VLDL triglycerides in the blood
Atenolol,HDL cholesterol,decreased,0,1,Atenolol decreases the level of HDL cholesterol in the blood
Atenolol,Glycerol,increased,1,0,Atenolol increases the level of Glycerol in the blood
Atenolol,Non-esterified free fatty acids,decreased,0,1,Atenolol decreases the level of Non-esterified free fatty acids in the blood
Atenolol,Potassium,increased,1,0,Atenolol increases the level of Potassium in the blood
Atenolol,Free fatty acids,increased,1,0,Atenolol increases the level of Free fatty acids in the blood
Atenolol,Triglycerides,increased,1,0,Atenolol increases the level of Triglycerides in the blood
Atenolol,Dihomolinoleate FA(20:2),decreased,0,1,Atenolol decreases the level of Dihomolinoleate FA(20:2) in the blood
Atenolol,Free fatty acids,decreased,0,1,Atenolol decreases the level of Free fatty acids in the blood
Atenolol,Eicosenoate FA(20:1),decreased,0,1,Atenolol decreases the level of Eicosenoate FA(20:1) in the blood
Atenolol,Glycerol,decreased,0,1,Atenolol decreases the level of Glycerol in the blood
Atenolol,Oleic acid (18:1 cis-9),decreased,0,1,Atenolol decreases the level of Oleic acid (18:1 cis-9) in the blood
Atenolol,Lactate,increased,1,0,Atenolol increases the level of Lactate in the blood
Atenolol,Palmitoleic acid (16:1),decreased,0,1,Atenolol decreases the level of Palmitoleic acid (16:1) in the blood
Atenolol,Hydroxyisovaleroylcarnitine C4-OH-M,increased,1,0,Atenolol increases the level of Hydroxyisovaleroylcarnitine C4-OH-M in the blood
Atenolol,Pyroglutamine,increased,1,0,Atenolol increases the level of Pyroglutamine in the blood
Atenolol,Homocitrulline,increased,1,0,Atenolol increases the level of Homocitrulline in the blood
Atenolol,Salicylate,increased,1,0,Atenolol increases the level of Salicylate in the blood
Atenolol,Acylcarnitins,increased,1,0,Atenolol increases the level of Acylcarnitins in the blood
Atenolol,2-Methylbutyroylcarnitine C4-M,increased,1,0,Atenolol increases the level of 2-Methylbutyroylcarnitine C4-M in the blood
Atenolol,Serotonin,decreased,0,1,Atenolol decreases the level of Serotonin in the blood
Atenolol,Inoleic acid (18:2 n-6),decreased,0,1,Atenolol decreases the level of Inoleic acid (18:2 n-6) in the blood
Atenolol,Glucose,increased,1,0,Atenolol increases the level of Glucose in the blood
Atenolol,Aldosterone,decreased,0,1,Atenolol decreases the level of Aldosterone in the blood
Atenolol,10-Nonadecenoate FA(19:1),decreased,0,1,Atenolol decreases the level of 10-Nonadecenoate FA(19:1) in the blood
Atenolol,3-hydroxybutyrate,decreased,0,1,Atenolol decreases the level of 3-hydroxybutyrate in the blood
Atenolol,Uric acid,increased,1,0,Atenolol increases the level of Uric acid in the blood
Atenolol,LDL cholesterol,decreased,0,1,Atenolol decreases the level of LDL cholesterol in the blood
Atenolol,Methylhexadecanoic acid,decreased,0,1,Atenolol decreases the level of Methylhexadecanoic acid in the blood
Atenolol,Arachidonic acid (20:4 v-6),decreased,0,1,Atenolol decreases the level of Arachidonic acid (20:4 v-6) in the blood
Atenolol,3-hydroxybutanoic acid,decreased,0,1,Atenolol decreases the level of 3-hydroxybutanoic acid in the blood
Atenolol,Threonine,decreased,0,1,Atenolol decreases the level of Threonine in the blood
Atenolol,Threitol,increased,1,0,Atenolol increases the level of Threitol in the blood
Atenolol,Myristic acid (14:0),decreased,0,1,Atenolol decreases the level of Myristic acid (14:0) in the blood
Atenolol,Palmitic acid (16:0),decreased,0,1,Atenolol decreases the level of Palmitic acid (16:0) in the blood
Atenolol,Alpha ketoglutaric acid,increased,1,0,Atenolol increases the level of Alpha ketoglutaric acid in the blood
Atenolol,Arabitol,increased,1,0,Atenolol increases the level of Arabitol in the blood
Atomoxetine,"3,4-dihydroxyphenylglycol",decreased,0,1,"Atomoxetine decreases the level of 3,4-dihydroxyphenylglycol in the blood"
Atorvastatin,Glucose,increased,1,0,Atorvastatin increases the level of Glucose in the blood
Atorvastatin,HDL cholesterol,increased,1,0,Atorvastatin increases the level of HDL cholesterol in the blood
Atorvastatin,Homocysteine,decreased,0,1,Atorvastatin decreases the level of Homocysteine in the blood
Atorvastatin,Cholesterol,decreased,0,1,Atorvastatin decreases the level of Cholesterol in the blood
Atorvastatin,Non-HDL cholesterol,decreased,0,1,Atorvastatin decreases the level of Non-HDL cholesterol in the blood
Atorvastatin,HDL2 cholesterol,increased,1,0,Atorvastatin increases the level of HDL2 cholesterol in the blood
Atorvastatin,Coenzyme Q10,decreased,0,1,Atorvastatin decreases the level of Coenzyme Q10 in the blood
